Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out4[255:0]
249,249,0,0e00d2ff3a00deff7800befffcffbcffea5a48a89a3aaea3bc04ecc108cd68f6
250,250,0,0e00f0ff0c00eeffdcfffcffecfffcff52fb24c9d0c5360040a5b237a8a66859
251,251,0,d2ff0e00eefffeffecff2a00dcff3c0008a3ec3dcea9ac5be4d0a25788081833
252,252,0,c2ff1e00ceff3a00fcff0a00fcffccff44d83c543611f82a284432f2b85df8be
253,253,0,0e0000001c00ceff0a00beff3c00bcffcc49a2eaac5e10b96e50aea14824c8ad
254,254,0,1e00e0fffeffceff0a00aeff0c00ecffdc4a28a1781bceb20ce20ae158b38819
255,255,0,f0ff0000eeffeeffbefffcffccff0c0054d932e9aeae0822aea14e4f08b8685e
256,256,0,9cff0e00ceff2c00dcff1a001c001c00c8a20c54d0be7c5d02f2a844182b3812
257,257,0,f0ff5a00fefffefffcffecff1c00dcff12fb7c3e78324609525744d1385c48aa
258,258,0,0e002c00feffeefffcffccff1c00ccff9c5ac4c9fc599ea6b43730a5780028c5
259,259,0,2c00f0ff1c000c00ccffdcffecff0c00be2fb6a724f850cc0cc31a0438a4b839
260,260,0,9cfff0ffc0ff2c00beff2a00bcff2c0056bc400d7ea2ba4072abe45c58d44856
261,261,0,8cff1e00ceff1c00dcff0a000c00ecffc6af1c5ee2db9c5252140c28c84678ee
262,262,0,1e001e001c000c000a00dcffecfffcff001eae204a4c62e6765ed6b6d84db8a1
263,263,0,2c0000001c000c000a00befffcffdcff5c5e26b16a48aea1a41726b578def8e3
264,264,0,0000d2ff1c00eeffdcfffcffccff1c00d00e16bbb2d564edc2ac2a2648a28851
265,265,0,f0ff2c00defffeffbeff1a00ccff3c0096a8be2ecea39c555cc1245d18f60842
266,266,0,00000000eeff2c00dcfffcff0c00ecffd4c70c5b74fe0a3ba2355c05c858d8cd
