Sample in Buffer,Sample in Window,TRIGGER,int_dac_top/top_dac1_int/tx_tdata[255:0],int_dac_top/top_dac1_int/syncb_buf,int_dac_top/top_dac1_int/syncb_logic,sysref_logic,sysref_o,u_ila_3_tx_aresetn
166,166,0,d11888ce170fb0c8f90443c4bbfa5dc1a0f012c0e9e66ac0d7dd63c2a5d5efc5,0,1,0,0,1
167,167,0,770b9f3f5d15eb3fb61e933e4727a23bd52e2a3731354831303a222ab23de921,0,1,0,0,1
168,168,0,fcd3ebc623cd44cc97c7f0d27dc3c4daf1c08ce301c00eedb5c00df708c34601,0,1,0,0,1
169,169,0,413efb1fd33fba16c33fe40c113eba02c73a7ef8fd3573eed02fdbe46a28f5db,0,1,0,0,1
170,170,0,c1c38603f9c7ac0da0cd781791d4ab209fdc072995e5573038ef693649f9173b,0,1,0,0,1
171,171,0,a5261fda021e60d29c14cdcbae0a90c67a00cbc243f698c04bec05c0d5e215c1,0,1,0,0,1
172,172,0,87fbeb3bc505bd3edd0ff43f8d19873f95227a3dbb2ada39c931bf349037492e,0,1,0,0,1
173,173,0,d9e088c154d88dc4d3d018c988ca0bcf9bc53fd62dc285de54c0a6e71dc067f1,0,1,0,0,1
174,174,0,a538b42cac3cd324253f011c00407712373f7408d03c39feda380bf470332aea,0,1,0,0,1
175,175,0,49c09af30fc2c7fd6cc5020849ca091286d0991bfad7752475e0622cbfe92b33,0,1,0,0,1
176,176,0,113210e8102be6def62296d6f61955cf4c1053c93706b8c4f9fba1c1d6f124c0,0,1,0,0,1
177,177,0,deeb7d34d1f5a93907005a3d3d0a793f2f14f83f9d1dd33e4926133cfa2dc937,0,1,0,0,1
178,178,0,a6ef08c0fde589c0fedcaac2e5d45ec6e7cd8bcb30c810d2e8c3c2d92ac170e2,0,1,0,0,1
179,179,0,832fa536bf35a2309a3a5f29f43d0d21b93fe317db3f1c0e5b3ef803433bbbf9,0,1,0,0,1
180,180,0,c7c073e400c005eeddc00cf859c3470261c7740cddcc4f16a9d3971f97db1128,0,1,0,0,1
181,181,0,603a7ef771357ced232ff3e3a12721db1b1f42d3c91588cce80b1fc7b9012bc3,0,1,0,0,1
182,182,0,76ddcc2980e6fe3031f0ef3649fa783b87047b3ea70ee43f6718ab3f8821d03d,0,1,0,0,1
183,183,0,78ff82c244f577c057eb0dc0f1e146c150d91ac4add177c839cb40ce20c64fd5,0,1,0,0,1
184,184,0,6d23313d7a2b6a3969322b340e38962d443cd625ee3e1e1dfc3fa713663faf09,0,1,0,0,1
185,185,0,33c503d7ecc161df3cc095e82ec062f2c2c188fcefc4c5069ec9d610b3cf781a,0,1,0,0,1
186,186,0,0d3f74077e3c38fd62380ef3d53239e9fa2bf9dfff238bd7181b27d07f11fcc9,0,1,0,0,1
187,187,0,34d1811cc5d8482556e11a2db1eac43397f41b39c8fefc3c01094d3fff12ff3f,0,1,0,0,1
188,188,0,520fcfc8360559c4f8fa6ac1dbf015c022e763c00bde52c2d3d5d6c5afced7ca,0,1,0,0,1
189,189,0,2315ee3f801ea03e1627b83bac2e49370f356f31173a502aa13d1d22983f0a19,0,1,0,0,1
190,190,0,48cd20ccb4c7c5d292c392dafbc055e302c0d4ecacc0d0f6f6c20901cfc63b0b,0,1,0,0,1
191,191,0,cf3ff316c83f200d1f3ef702df3abbf81d36aeeef92f13e5992828dc302028d4,0,1,0,0,1
192,192,0,dbc7700d7acd3f1764d476206cdcd8285de52f30fdee49360cf9ff3a4903333e,0,1,0,0,1
193,193,0,391e8bd2d614f0cbea0aabc6b700ddc27ff6a1c086ec03c00ce30ac150daadc3,0,1,0,0,1
194,194,0,8805b13ea20ff13f55198e3f62228b3d8e2af439a231e1347237732ed53bd526,0,1,0,0,1
195,195,0,84d877c4fdd0f9c8a9cae4ceb4c511d63dc250de5ac06de719c02bf17bc14afb,0,1,0,0,1
196,196,0,983c05251b3f381c0040b112413fb008e33c77fef63847f4943364eae02c0fe1,0,1,0,0,1
197,197,0,00c289fd54c5c50728cace115dd0621bcbd7432440e0352c85e906335ef38938,0,1,0,0,1
198,198,0,3e2b1bdf2923c5d62e1a7dcf871073c97406cfc437fcafc112f228c049e843c0,0,1,0,0,1
199,199,0,95f58e39caff483d000a713ff513fa3f671ddf3e1826283ccf2de7375a343732,0,1,0,0,1
200,200,1,35e681c032dd99c213d543c60dce68cb4fc8e5d1fdc391d936c139e20ac0a4eb,0,1,1,1,1
201,201,0,9d35c930813a8e29e53d4221b33f1c18df3f580e693e36045a3bf8f9c536e2ef,0,1,1,1,1
202,202,0,00c0caedd3c0cff745c30a0245c7380cb9cc15167dd3621f64dbe1273ce45a2f,0,1,1,1,1
203,203,0,9235b6ed4d2f2ae4d12754db501f6ed30216accc240c3bc7f6013fc3bbf7d0c0,0,1,1,1,1
204,204,0,48e6d730f5efd0360cfa613b4a046e3e6c0ee13f2f18b13f5321e03d9d29793a,0,1,1,1,1
205,205,0,81f57fc091eb0bc027e23ac181d905c4d7d159c85ccb1ace3ac622d593c243dd,0,1,1,1,1
206,206,0,4d2b853943324e34f037c12d2f3c0726e33e541dfa3fe1136e3fec09423db5ff,0,1,1,1,1
207,207,0,fbc12cdf41c05ce829c026f2b4c14bfcd7c488067ec99b108acf411ad4d63a23,0,1,1,1,1
208,208,0,923c75fd7f384af3fa3272e9272c2ee03224bbd7501b4fd0ba111dcab1074bc5,0,1,1,1,1
209,209,0,94d8162520e1ee2c77eaa0335bf400398bfee93cc508443fc512ff3f4a1c173f,0,1,1,1,1
210,210,0,74056fc436fb77c117f118c05ae75cc03fde42c201d6bcc5d7ceb5caeec80bd1,0,1,1,1,1
211,211,0,4b1ead3ee626ce3b822e6737ed349531fd397e2a913d5122913f4219f03f8e0f,0,1,1,1,1
212,212,0,d1c79ad2a6c361da06c11ee303c099eca3c093f6e3c2cb00b4c6fe0afccbe914,0,1,1,1,1
213,213,0,cd3f5c0d2e3e3403f73af8f83e36e9ee21304ae5c9285bdc652055d42c176dcd,0,1,1,1,1
214,214,0,54cd061737d4412039dca92825e50630c2ee2836cff8e73a0c03243e340dca3f,0,1,1,1,1
215,215,0,0f1514cc260bc6c6f400f0c2bcf6a9c0c0ec02c043e3ffc082da98c3b6d2bec7,0,1,1,1,1
216,216,0,660fef3f1c19963f2e229c3d602a0e3a7b31043553379e2ebf3b0627a43e6e1e,0,1,1,1,1
217,217,0,26d1dac8cbcabccecdc5e2d54dc21cde61c035e716c0eff06ec10dfb60c44b05,0,1,1,1,1
