Sample in Buffer,Sample in Window,TRIGGER,int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt1_txdata[31:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt1_txcharisk[3:0],int_dac_top/top_dac1_int/tx_tdata[255:0],int_dac_top/top_dac1_int/syncb_buf,int_dac_top/top_dac1_int/syncb_logic,sysref_logic,sysref_o,u_ila_2_tx_aresetn
123,123,0,bcbcbcbc,bcbcbcbc,f,f,36d52fc62ace4dcb66c8c5d10ec46cd93fc110e20bc078eb7bc066f58cc29bff,0,1,0,0,1
124,124,0,bcbcbcbc,bcbcbcbc,f,f,d93d6a21ae3f4718e23f860e733e65046b3b27fadd360ff0e83060e6b22959dd,0,1,0,0,1
125,125,0,bcbcbcbc,bcbcbcbc,f,f,36c3db012fc70a0c9ccce9155bd3391f3edbbc2712e43b2f9ded8435a1f76e3a,0,1,0,0,1
126,126,0,bcbcbcbc,bcbcbcbc,f,f,f6277adb791f90d32e16c9cc520c51c725024ec3eaf7d8c0e4ed00c054e4ccc0,0,1,0,0,1
127,127,0,bcbcbcbc,bcbcbcbc,f,f,ddf9503b1b04633e3e0ede3f0318b53f2b21ec3d79298c3ab830ac35b7366c2f,0,1,0,0,1
128,128,0,bcbcbcbc,bcbcbcbc,f,f,51e231c1a7d9f4c3f8d141c877cbfccd4fc6ffd4a0c21bdd85c01de609c0c8ef,0,1,0,0,1
129,129,0,bcbcbcbc,bcbcbcbc,f,f,da37e22d1f3c2d26da3e7e1df93f0e14743f1a0a503de5ff9a39aff56934beeb,0,1,0,0,1
130,130,0,bcbcbcbc,bcbcbcbc,f,f,26c0f8f1a9c11cfcc5c4590665c96d106ccf161ab0d6132304df2a2b30e82632,0,1,0,0,1
131,131,0,bcbcbcbc,bcbcbcbc,f,f,16339ee9492c57e05924dfd77a1b6fd0e81136cae0075ec5a4fd07c278f345c0,0,1,0,0,1
132,132,0,bcbcbcbc,bcbcbcbc,f,f,4bea84332df4ea385cfedb3c96083d3f98120040201c1f3fef24a13ccd2c9538,0,1,0,0,1
133,133,0,bcbcbcbc,bcbcbcbc,f,f,45f11bc086e757c067de36c225d6a9c5f5ce9bca06c9ebd080c46fd881c1f7e0,0,1,0,0,1
134,134,0,bcbcbcbc,bcbcbcbc,f,f,612e7f37d234b331e939a12a843d78228b3f6d19f23fbb0fb63ea205df3b65fb,0,1,0,0,1
135,135,0,bcbcbcbc,bcbcbcbc,f,f,0ec1f4e204c06cec9dc065f6d5c29c009fc6d00ae1cbbc1478d2211e3bdac026,0,1,0,0,1
136,136,0,bcbcbcbc,bcbcbcbc,f,f,0a3b26f9573616ef403075e5ed2882dc8d2077d458178acd8a0de8c76303b6c3,0,1,0,0,1
137,137,0,bcbcbcbc,bcbcbcbc,f,f,12dc8528fae4e72f94ee0f36a0f8d53add02193e060dc63fda16d13f1920393e,0,1,0,0,1
138,138,0,bcbcbcbc,bcbcbcbc,f,f,2301fec2eaf6b0c0edec01c06de3f6c0a8da89c3d8d2a7c730cc38cddbc615d4,0,1,0,0,1
139,139,0,bcbcbcbc,bcbcbcbc,f,f,0622a83d3c2a223a5e311e353b37be2eaf3b2b279b3e981eec3f3c159b3f550b,0,1,0,0,1
140,140,0,bcbcbcbc,bcbcbcbc,f,f,e1c5bfd559c2f4dd66c009e713c0c2f064c1defa4fc41c05c2c8380f9ecef118,0,1,0,0,1
141,141,0,bcbcbcbc,bcbcbcbc,f,f,513f1c09043de3fe2739b1f4d433caea2d2d6ee15d25dad8991c47d11913e6ca,0,1,0,0,1
142,142,0,bcbcbcbc,bcbcbcbc,f,f,15d0001b77d7e923e2dfe72b20e9c532f4f256381dfd753c5a07083f6611fe3f,0,1,0,0,1
143,143,0,bcbcbcbc,bcbcbcbc,f,f,f010acc9e006f9c4a3fcc8c17cf230c0aee83ac078dfe5c118d729c5c4cfedc9,0,1,0,0,1
144,144,0,bcbcbcbc,bcbcbcbc,f,f,8e13fc3f061df33ec0254d3c832d1b381b347a325e398d2b293d8323623f911a,0,1,0,0,1
145,145,0,bcbcbcbc,bcbcbcbc,f,f,51ce2acb84c89bd123c43bd94bc1d9e10ec03eeb74c02af57bc25dff15c69509,0,1,0,0,1
146,146,0,bcbcbcbc,bcbcbcbc,f,f,a83f8018e63fc10e813ea204823b64fafd364bf00f3199e6e0298ddd9e2163d5,0,1,0,0,1
147,147,0,bcbcbcbc,bcbcbcbc,f,f,13c7cd0b78ccaf152fd3031f0cdb8c27dbe3112f62ed623564f7553a9e01c93d,0,1,0,0,1
